Symbol,'Market Cap',' Average Volume',' Previous Close',' Open',' Book Value',' Last Trade Price',' 200 Day Moving Average',' 50 Day Moving Average',' Change from 200 Day',' Change from 50 Day',' Earnings Share',' Estimate EPS Next Quarter',' Estimate EPS Next Year',' Next Year EPS Price Estimate',' Current Year Price EPS Estimate',' Day High',' Day Low',' Year High',' Year Low',' PEG Ratio',' PE Ratio',' Short Ratio'
PH,0.023525,0.004103,0.223727,0.224392,0.327754,0.222407,0.216188,0.235229,0.39054,0.309611,0.73723,0.215162,0.184601,0.007533,0.00947,0.222463,0.22479,0.216283,0.20332,0.007394,0.003334,0.079625
BTU,0.002601,0.148911,0.013223,0.013513,0.159684,0.013056,0.019561,0.013302,0.333359,0.326617,0.599559,0.067447,0.065333,0.01282,0.01569,0.013504,0.013217,0.031144,0.012019,0.017322,0.009461,0.103044
PGH,0.002397,0.034949,0.006104,0.006235,0.132439,0.006083,0.007563,0.005602,0.364237,0.328804,0.635852,0.083612,0.066525,0.01282,0.01569,0.006299,0.006122,0.010951,0.004889,0.017322,0.009461,0.070258
PVA,0.000663,0.03815,0.012684,0.013031,0.188492,0.012525,0.016312,0.011196,0.349762,0.334785,0.636853,0.071349,0.056321,0.01282,0.01569,0.013191,0.01264,0.028817,0.00878,0.017322,0.009461,0.140515
PWE,0.001674,0.061396,0.004375,0.004586,0.169826,0.004528,0.008195,0.003494,0.351219,0.331348,0.625215,0.072464,0.057381,0.01282,0.015093,0.004672,0.004446,0.015784,0.00277,0.018538,0.009461,0.159251
PNR,0.016201,0.007121,0.120139,0.120573,0.244978,0.119168,0.118613,0.123788,0.366015,0.328526,0.654857,0.147157,0.129075,0.007716,0.009856,0.120066,0.120931,0.13486,0.12035,0.006978,0.011909,0.084309
POM,0.009277,0.002014,0.050528,0.050237,0.199428,0.049595,0.048722,0.051938,0.374365,0.324166,0.653533,0.097547,0.085343,0.011399,0.01425,0.049684,0.05037,0.044633,0.039784,0.014789,0.005319,0.084309
PEP,0.203695,0.04567,0.186608,0.185187,0.188997,0.183351,0.170318,0.184409,0.435161,0.362365,0.700342,0.158305,0.135038,0.010954,0.013626,0.183513,0.185031,0.163156,0.156855,0.015518,0.004558,0.035129
PBR,0.058052,0.524599,0.011569,0.01192,0.210719,0.011976,0.021529,0.012993,0.315116,0.322304,0.653965,0.096433,0.08256,0.003048,0.003017,0.011968,0.011876,0.033276,0.011774,0.003437,0.000962,0.051522
PFE,0.29705,0.316883,0.063651,0.063422,0.171949,0.063495,0.054495,0.061615,0.421984,0.349662,0.658385,0.113712,0.097403,0.00848,0.010454,0.063481,0.063704,0.055356,0.05602,0.039211,0.004985,0.053864
PM,0.175566,0.048245,0.153299,0.153111,0.057826,0.152788,0.152249,0.157209,0.362808,0.337478,0.703573,0.148272,0.13093,0.009577,0.011703,0.152865,0.153745,0.1483,0.157955,0.024057,0.003493,0.037471
PIR,0.001521,0.019423,0.023855,0.023587,0.122825,0.02282,0.025843,0.031051,0.353401,0.286873,0.651073,0.090301,0.07991,0.007783,0.009985,0.02336,0.022883,0.03199,0.023162,0.009321,0.002911,0.088993
PNW,0.010029,0,0.124563,0.12411,0.329193,0.122298,0.110564,0.133554,0.432986,0.294328,0.68992,0.093645,0.119003,0.009594,0.011561,0.12335,0.123892,0.11849,0.106172,0.022339,0.003611,0.063232
PES,0.000439,0.004391,0.00958,0.009753,0.15056,0.009323,0.017109,0.008966,0.325989,0.328911,0.640746,0.083055,0.060562,0.01282,0.008647,0.009975,0.009428,0.029143,0.007456,0.007134,0.009761,0.070258
PXD,0.029487,0.018438,0.27317,0.276672,0.430102,0.272004,0.315766,0.284601,0.085209,0.322453,0.725457,0.103679,0.11198,0.024514,0.050471,0.277852,0.275221,0.380936,0.25932,0.088836,0.004739,0.070258
PBI,0.006278,0.010838,0.041755,0.041421,0.105304,0.041918,0.044712,0.045386,0.353008,0.316437,0.661332,0.109253,0.096475,0.005716,0.00736,0.042031,0.041654,0.045365,0.043064,0.017322,0.002711,0.318501
PAA,0.026164,0.00851,0.093391,0.093979,0.223389,0.093711,0.097777,0.096639,0.340565,0.331451,0.671402,0.113155,0.101776,0.010859,0.013967,0.093873,0.09404,0.098606,0.088816,0.013955,0.004318,0.056206
PCL,0.010445,0.000685,0.081161,0.080868,0.155983,0.079966,0.074685,0.084099,0.39808,0.321878,0.655587,0.095318,0.087464,0.016363,0.02372,0.080249,0.081097,0.073157,0.078814,0.017392,0.007584,0.259953
PNC,0.064558,0.019934,0.166886,0.167168,0.534628,0.166239,0.154629,0.167171,0.428179,0.35901,0.737852,0.183946,0.172144,0.006279,0.007887,0.166909,0.167339,0.151261,0.156203,0.010883,0.002399,0.039813
POT,0.041573,0.036401,0.068354,0.068682,0.162041,0.06743,0.062436,0.068658,0.397512,0.334224,0.663833,0.116499,0.097535,0.00907,0.011284,0.068034,0.068322,0.061979,0.063923,0.022652,0.004122,0.088993
PPL,0.031441,0.039054,0.064543,0.064274,0.216926,0.063586,0.062205,0.06832,0.376135,0.314869,0.674673,0.110925,0.09833,0.008335,0.00967,0.063865,0.06443,0.061263,0.063068,0.017322,0.002604,0.044496
PX,0.049379,0.002105,0.231125,0.23143,0.210692,0.228794,0.229851,0.240523,0.346172,0.316867,0.716684,0.171683,0.16088,0.009789,0.012526,0.229466,0.232314,0.219261,0.238969,0.009998,0.004446,0.112412
PCP,0.039499,0.004253,0.377539,0.377825,0.565214,0.375242,0.414044,0.415589,0.105506,0.20063,0.81456,0.27369,0.25497,0.007939,0.010043,0.376233,0.379192,0.44682,0.379222,0.006978,0.003129,0.032787
